Group	Scan Group	Scan Identity	Res	Sections
16	CCR-2-B3	CCR-2-0106	202	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
16	CCR-2-B3	CCR-2-0107	162	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
16	CCR-2-B3	CCR-2-0108	135	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
16	CCR-2-B3	CCR-2-0109	101	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
16	CCR-2-B3	CCR-2-0110	81	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
17	CCR-2-B3	CCR-2-0111	203	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
17	CCR-2-B3	CCR-2-0112	162	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
17	CCR-2-B3	CCR-2-0113	135	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
17	CCR-2-B3	CCR-2-0114	101	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
17	CCR-2-B3	CCR-2-0115	81	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
18	CCR-2-B3	CCR-2-0116	203	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
18	CCR-2-B3	CCR-2-0117	162	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
18	CCR-2-B3	CCR-2-0118	135	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
18	CCR-2-B3	CCR-2-0119	101	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
18	CCR-2-B3	CCR-2-0120	81	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
19	CCR-2-B4	CCR-2-0121	204	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
19	CCR-2-B4	CCR-2-0122	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
19	CCR-2-B4	CCR-2-0123	136	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
19	CCR-2-B4	CCR-2-0124	124	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
19	CCR-2-B4	CCR-2-0125	102	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
19	CCR-2-B4	CCR-2-0126	90	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
19	CCR-2-B4	CCR-2-0127	82	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
20	CCR-2-B4	CCR-2-0128	204	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
20	CCR-2-B4	CCR-2-0129	163	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
